filename,annotations,label
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_2/8530.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_1/8889.jpg,"[{'x': 818, 'y': 206, 'width': 39, 'height': 37}, {'x': 411, 'y': 426, 'width': 30, 'height': 27}]",1
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_2/10388.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_2/1167.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_0/5836.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_0/9910.jpg,"[{'x': 747, 'y': 349, 'width': 35, 'height': 40}]",1
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_2/6542.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_2/779.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_1/4206.jpg,"[{'x': 295, 'y': 338, 'width': 41, 'height': 35}, {'x': 0, 'y': 378, 'width': 68, 'height': 54}, {'x': 534, 'y': 503, 'width': 53, 'height': 69}, {'x': 598, 'y': 647, 'width': 43, 'height': 43}, {'x': 87, 'y': 392, 'width': 42, 'height': 34}, {'x': 278, 'y': 361, 'width': 49, 'height': 43}, {'x': 27, 'y': 487, 'width': 89, 'height': 72}, {'x': 158, 'y': 441, 'width': 30, 'height': 33}]",1
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_1/2123.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_2/8639.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_2/58.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_0/1192.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_2/2641.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_1/4810.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_2/919.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_1/4793.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_1/5962.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_2/9628.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_0/12085.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_2/6040.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_1/6130.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_1/575.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_1/8776.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_1/176.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_2/9818.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_1/4639.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_2/1629.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_2/10085.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_2/5026.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_1/2510.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_1/1337.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_1/1977.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_0/3869.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_2/817.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_1/10768.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_0/204.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_0/4618.jpg,"[{'x': 10, 'y': 330, 'width': 77, 'height': 99}, {'x': 570, 'y': 521, 'width': 88, 'height': 90}, {'x': 77, 'y': 196, 'width': 91, 'height': 55}]",1
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_0/7954.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_2/7929.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_1/6737.jpg,"[{'x': 527, 'y': 442, 'width': 40, 'height': 41}]",1
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_1/8975.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_1/6273.jpg,"[{'x': 640, 'y': 674, 'width': 76, 'height': 68}]",1
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_0/1953.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_0/1916.jpg,"[{'x': 1093, 'y': 206, 'width': 67, 'height': 59}, {'x': 703, 'y': 411, 'width': 51, 'height': 44}]",1
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_2/1252.jpg,[],0
/kaggle/input/tensorflow-great-barrier-reef/train_images/video_1/10636.jpg,[],0
